Abelspora portucalensis
Acanthamoeba astronyxis
Acanthamoeba castellanii
Acanthamoeba comandoni
Acanthamoeba culbertsoni
Acanthamoeba griffini
Acanthamoeba hatchetti
Acanthamoeba hyalina
Acanthamoeba lenticulata
Acanthamoeba palestinensis
Acanthamoeba polyphaga
Acanthamoeba rhysodes
Acanthamoeba royreba
Acanthamoeba terricola
Acanthamoeba tubiashi
Acanthochiasma rubescens
Acanthocolla cruciata
Acanthocolla solidissima
Acantholithium dicopum
Acanthometron elastricum
Acanthometron pellucida
Acanthostaurus nordgaardi
Acanthostaurus purpurascens
Acrasis granulata
Acrasis kona
Acrasis rosea
Acrasis takersan
Acytostelium amazonicum
Acytostelium anastomosans
Acytostelium digitatum
Acytostelium ellipticum
Acytostelium irregularosporum
Acytostelium leptosomum
Acytostelium longisorophorum
Acytostelium magniphorum
Acytostelium magnisorum
Acytostelium minutissimum
Acytostelium pendulum
Acytostelium reticulatum
Acytostelium serpentarium
Acytostelium singulare
Acytostelium subglobosum
Aedispora dorsalis
Aedispora tuzetae
Agglomerata cladocera
Agglomerata connexa
Agglomerata lacrima
Agglomerata sidae
Agglomerata volgensae
Agmasoma aquinoae
Agmasoma duorara
Agmasoma penaei
Alacrinella limnoriae
Alacrinella sanjuanensis
Alfvenia ceriodaphniae
Alfvenia nuda
Alloglugea bufonis
Alwisia bombarda
Alwisia lloydiae
Alwisia morula
Alwisia repens
Amaurochaete atra
Amaurochaete comata
Amaurochaete trechispora
Amaurochaete tubulina
Amazonspora hassar
Amblyospora ababai
Amblyospora abserrati
Amblyospora addisi
Amblyospora aestiva
Amblyospora albifasciati
Amblyospora amphipodae
Amblyospora auriferi
Amblyospora bakcharia
Amblyospora baritia
Amblyospora benigna
Amblyospora bicortex
Amblyospora bogashovia
Amblyospora bolinasae
Amblyospora bracteata
Amblyospora burlaki
Amblyospora californica
Amblyospora callose
Amblyospora campbelli
Amblyospora camposi
Amblyospora canadensis
Amblyospora cantansi
Amblyospora capillata
Amblyospora caspius
Amblyospora cataphyllus
Amblyospora certa
Amblyospora chulymia
Amblyospora cinerei
Amblyospora coluzzii
Amblyospora connecticus
Amblyospora conopsa
Amblyospora criniferis
Amblyospora culicis
Amblyospora dakarensis
Amblyospora daqahliyai
Amblyospora debaisieuxi
Amblyospora dissimilis
Amblyospora dolosi
Amblyospora dyxenoides
Amblyospora excrucii
Amblyospora ferocis
Amblyospora fibrata
Amblyospora firma
Amblyospora flavescens
Amblyospora gigantea
Amblyospora hristinia
Amblyospora hybomitrae
Amblyospora indicola
Amblyospora indubitantis
Amblyospora inimica
Amblyospora jurginia
Amblyospora kadunae
Amblyospora kazankia
Amblyospora keenani
Amblyospora khaliulini
Amblyospora kolarovi
Amblyospora lairdi
Amblyospora macrococcus
Amblyospora mavlukevia
Amblyospora media
Amblyospora minuta
Amblyospora mocrushinia
Amblyospora modestium
Amblyospora mojingensis
Amblyospora nataliae
Amblyospora nigeriana
Amblyospora noxia
Amblyospora opacita
Amblyospora orbiculata
Amblyospora pilosa
Amblyospora pinensis
Amblyospora polykarya
Amblyospora punctor
Amblyospora rugosa
Amblyospora rustica
Amblyospora salairia
Amblyospora salinaria
Amblyospora senegalensis
Amblyospora severinia
Amblyospora shegaria
Amblyospora stictici
Amblyospora stimuli
Amblyospora styriaca
Amblyospora theophanica
Amblyospora timirasia
Amblyospora tramazayguesi
Amblyospora tritaeniorhynchi
Amblyospora ukrainica
Amblyospora undata
Amblyospora undulata
Amblyospora unica
Amblyospora urski
Amblyospora verna
Amblyospora weiseri
Ameson atlanticum
Ameson metacarcini
Ameson michaelis
Ameson pulvis
Ameson sapidi
Amoeba discoides
Amoeba dubia
Amoeba gorgonia
Amoeba guttula
Amoeba limicola
Amoeba proteus
Amoeba radiosa
Amoeba spumosa
Amoeba striata
Amoeba verrocosa
Amoeba vespertilio
Amoebidium appalachiense
Amoebidium australiense
Amoebidium colluviei
Amoebidium parasiticum
Amoebidium recticola
Amoebosporus saccharinus
Amoebosporus vasculorum
Amphiacantha attenuata
Amphiacantha ovalis
Amphiamblys ancorae
Amphiamblys bhatiellae
Amphiamblys capitellides
Amphiamblys caulleryi
Amphiamblys longior
Amphiblone anormala
Amphiblone hydrotomica
Amphilithium clavarium
Amphilithium concretum
Amphilonche elongata
Amphistaurus tetrapterus
Andreanna caspii
Anncaliia algerae
Anncaliia connori
Anncaliia gambiae
Anncaliia meligethi
Anncaliia varivestis
Anncaliia vesicularum
Anostracospora rigaudi
Antonospora locustae
Antonospora psocopterae
Antonospora scoticae
Arcella arenaria
Arcella dentata
Arcella discoides
Arcella hemisphaerica
Arcella vulgaris
Arcyodes incarnata
Arcyria affinis
Arcyria afroalpina
Arcyria aggregata
Arcyria annulata
Arcyria annulifera
Arcyria aureoglobosa
Arcyria biniensis
Arcyria brooksii
Arcyria bulbosa
Arcyria cinerea
Arcyria colloderma
Arcyria corymbosa
Arcyria denudata
Arcyria exigua
Arcyria fasciculata
Arcyria ferruginea
Arcyria flavescens
Arcyria fuegiana
Arcyria galericulata
Arcyria glauca
Arcyria globosa
Arcyria gongyloida
Arcyria helvetica
Arcyria imperialis
Arcyria incarnata
Arcyria insignis
Arcyria magna
Arcyria major
