Pogonoglossus horni
Dentaphila mirabilis
Exochus ravetus
Gymnodia áeremophila
Halictophagus kühnelti
Anthribus küsteri
Echinapoderus schröderi
Acalles mülleri
Acalles stöckleini
Acicnemis kükenthali
Acicnemis künnemanni
Amerrhinus schönherri
Amycterus schönherri
Anthonomus schönherri
Arniticus fåhraei
Bagous försteri
Baris traegårdhi
Caenopsimorphus krügeri
Ceuthorrhynchus méquignoni
Ceuthorrhynchus rübsaameni
Ceuthorrhynchus schönherri
Cholus oberthüri
Cholus schönherri
Chrysolophus schönherri
Chrysolopus forströmi
Cionus schönherri
Cleonus graëllsi
Cleonus köppeni
Cleonus ménétriési
Cleonus péringueyi
Cleonus schönherri
Coeliodes schüppeli
Cossonus peñai
Cossonus schlüteri
Cratosomus schönherri
Crypharis oberthüri
Curculio yünnanus
Dichotrachelus graëllsi
Dorytomus nordenskiöldi
Dyscerus rühli
Elleschus schönherri
Eteophilus schönherri
Guioperus gerstäckeri
Haplonyx schönherri
Hilipus schönherri
Hipporrhinus péringueyi
Hipporrhinus sjöstedti
Hypera aubéi
Leprosomus schönherri
Listroderes nordenskiöldi
Lixus jülichi
Macramycterus schönherri
Miarus mülleri
Miarus stöckleini
Mononychus schönherri
Mylacus krüperi
Mylacus sénaci
Otiorrhynchus göbli
Otiorrhynchus jaënensis
Otiorrhynchus königi
Otiorrhynchus krüperi
Otiorrhynchus küsteri
Otiorrhynchus mülleri
Otiorrhynchus müllerianus
Otiorrhynchus stöckleini
Otiorrhynchus szörenyensis
Pachyrrhynchus möllendorffi
Pachyrrhynchus schönherri
Pachytychius krügeri
Pagiophloeus rühli
Paramadarus peñai
Phaedropholus o´connori
Phelypera schüppeli
Phytonomus horváthi
Phytophilus schönherri
Protopalus schönherri
Rhyncolus schönherri
Rhytidophloeus oberthüri
Rhytirrhinus böhmi
Rhytirrhinus krüperi
Rhytirrhinus oberthüri
Seleuca chûjôi
Spermologus mendonça
Stramia fåhraei
Styphlus krüperi
Tachygonus schönherri
Tanyrrhynchus fåhraei
Tiphaura mendonça
Torneuma oberthüri
Tychius maynéi
Typacrus rühli
Vanapa oberthüri
Anoxyopisthen büttneri
Calandra medoraënsis
Calandra schönherri
Cercidocerus schönherri
Diathetes bürgersi
Diathetes kükenthali
Ichthyopisthen büttikoferi
Otidognathus försteri
Oxyopisthen büttikoferi
Stromboscerus schüppeli
Temnoschoita maynéi
Carpelimus rougemoпti
Edaphus víti
Aufidus blötei
Blötea albomaculata
Blötea vicina
Ommatidiotus falléni
Eumetopina krügeri
Tropidocephala baguioënsis
Mesonitys fülleborni
Episcius guérinii
Malfeytia sjöstedti
Rühlella pulchra
Rühlella superba
Hysteropterum öertzeni
Varcia kästneri
Taïchila couturieri
Platyderes drègii
Andraca röpkei
Bombyx lemée-oauli
Hygrochroa brückneri
Sphinx oberthüri
Dyspessa düldüldi
Acompsia müeller-rutzi
Apicia böttgeri
Apicia oberthüri
Artemidora alphérakyi
Drepanogynis athroöpsegma
Eubaphe aeëtes
Haplolabida sjöstedti
Hydrelia sjöstedti
Hypocometa praeëminens
Peribatodes aechmeëssa
Pitthea türckheimia
Pseudopanthera oberthüri
Scopula sjöstedti
Scopula timboënsis
Semaeopus böttgeri
Xenochroma palimpaïs
Amata uëlleburgensis
Automolis haematoëssa
Callitomis mjöbergi
Eilema hönei
Hypasura hönei
Lithosarctia hönei
Monosyntaxis samoënsis
Ocnogyna oberthüri
Parasemia stötzneri
Phryganopteryx saalmülleri
Praemastus cymothoë
Dasychira plötzi
Eloria guenéei
Agrochola wolfschlägeri
Bertula saïgonensis
Hypersypnoides congoënsis
Leucochlaena hörhammeri
Mesapamea storåi
Phlogophora gamoeënsis
Porphyrinia guenéei
Syfania oberthüri
Peridea oberthüri
Scalmicauda hösemanni
Sidisca hypochloë
Acraea kükenthali
Acraea oberthüri
Actinote terpsinoë
Amathusia schönbergi
Caligo oberthürii
Callithomia alexirrhoë
Elymnias künstleri
Euploea guérini
Limenitis paroëca
Neocoenyra fülleborni
Neope oberthüri
Oeneis aëllo
Satyrus püngeleri
Arachnopus gutt_lifer
Hilipus de geeri
Polydrosus van volxemi
Psepholax mac leayi
Anapygus de haani
Prodioctes de haani
Spenophorus de haani
