Pogonoglossus horni
Dentaphila mirabilis
Exochus ravetus
Gymnodia áeremophila 000
Halictophagus kühnelti 000 
Anthribus küsteri 000 
Echinapoderus schröderi 000 
Acalles mülleri 000
Acalles stöckleini 000 
Acicnemis kükenthali 000 
Acicnemis künnemanni 000
Amerrhinus schönherri 000
Amycterus schönherri 000
Anthonomus schönherri 000
Arniticus fåhraei 000
Bagous försteri 000
Baris traegårdhi 000
Caenopsimorphus krügeri 000
Ceuthorrhynchus méquignoni 000
Ceuthorrhynchus rübsaameni 000 
Ceuthorrhynchus schönherri 000
Cholus oberthüri 000 
Cholus schönherri 000
Chrysolophus schönherri 000
Chrysolopus forströmi 000
Cionus schönherri 000
Cleonus graëllsi 000
Cleonus köppeni 000
Cleonus ménétriési 000
Cleonus péringueyi 000
Cleonus schönherri 000
Coeliodes schüppeli 000 
Cossonus peñai 000
Cossonus schlüteri 000 
Cratosomus schönherri 000
Crypharis oberthüri 000
Curculio yünnanus 000
Dichotrachelus graëllsi 000
Dorytomus nordenskiöldi 000
Dyscerus rühli 000
Elleschus schönherri 000
Eteophilus schönherri 000
Guioperus gerstäckeri 000
Haplonyx schönherri 000
Hilipus schönherri 000
Hipporrhinus péringueyi 000
Hipporrhinus sjöstedti 000
Hypera aubéi 000
Leprosomus schönherri 000
Listroderes nordenskiöldi 000
Lixus jülichi 000
Macramycterus schönherri 000
Miarus mülleri 000
Miarus stöckleini 000
Mononychus schönherri 000
Mylacus krüperi 000
Mylacus sénaci 000
Otiorrhynchus göbli 000 
Otiorrhynchus jaënensis 000
Otiorrhynchus königi 000
Otiorrhynchus krüperi 000
Otiorrhynchus küsteri 000
Otiorrhynchus mülleri 000
Otiorrhynchus müllerianus 000
Otiorrhynchus stöckleini 000 
Otiorrhynchus szörenyensis 000
Pachyrrhynchus möllendorffi 000
Pachyrrhynchus schönherri 000
Pachytychius krügeri 000
Pagiophloeus rühli 000
Paramadarus peñai 000
Phaedropholus o´connori 000 
Phelypera schüppeli 000
Phytonomus horváthi 000
Phytophilus schönherri 000
Protopalus schönherri 000
Rhyncolus schönherri 000
Rhytidophloeus oberthüri 000
Rhytirrhinus böhmi 000
Rhytirrhinus krüperi 000
Rhytirrhinus oberthüri 000
Seleuca chûjôi 000
Spermologus mendonça 000
Stramia fåhraei 000
Styphlus krüperi 000
Tachygonus schönherri 000
Tanyrrhynchus fåhraei 000
Tiphaura mendonça 000
Torneuma oberthüri 000
Tychius maynéi 000
Typacrus rühli 000
Vanapa oberthüri 000
Anoxyopisthen büttneri 000
Calandra medoraënsis 000
Calandra schönherri 000
Cercidocerus schönherri 000
Diathetes bürgersi 000
Diathetes kükenthali 000
Ichthyopisthen büttikoferi 000
Otidognathus försteri 000
Oxyopisthen büttikoferi 000
Stromboscerus schüppeli 000:
Temnoschoita maynéi 000
Carpelimus rougemoпti 000
Edaphus víti 000 
Aufidus blötei 000
Blötea albomaculata 000
Blötea vicina 000
Ommatidiotus falléni 000
Eumetopina krügeri 000
Tropidocephala baguioënsis 000
Mesonitys fülleborni 000
Episcius guérinii 000
Malfeytia sjöstedti 000
Rühlella pulchra 000
Rühlella superba 000
Hysteropterum öertzeni 000
Varcia kästneri 000
Taïchila couturieri 000
Platyderes drègii 000
Andraca röpkei 000
Bombyx lemée-oauli 000
Hygrochroa brückneri 000 
Sphinx oberthüri 000
Dyspessa düldüldi 000
Acompsia müeller-rutzi 000
Apicia böttgeri 000
Apicia oberthüri 000
Artemidora alphérakyi 000
Drepanogynis athroöpsegma 000
Eubaphe aeëtes 000
Haplolabida sjöstedti 000
Hydrelia sjöstedti 000
Hypocometa praeëminens 000
Peribatodes aechmeëssa 000
Pitthea türckheimia 000
Pseudopanthera oberthüri 000
Scopula sjöstedti 000
Scopula timboënsis 000
Semaeopus böttgeri 000
Xenochroma palimpaïs 000
Amata uëlleburgensis 000
Automolis haematoëssa 000
Callitomis mjöbergi 000
Eilema hönei 000
Hypasura hönei 000
Lithosarctia hönei 000
Monosyntaxis samoënsis 000
Ocnogyna oberthüri 000
Parasemia stötzneri 000
Phryganopteryx saalmülleri 000
Praemastus cymothoë 000
Dasychira plötzi 000
Eloria guenéei 000
Agrochola wolfschlägeri 000
Bertula saïgonensis 000
Hypersypnoides congoënsis 000
Leucochlaena hörhammeri 000
Mesapamea storåi 000
Phlogophora gamoeënsis 000
Porphyrinia guenéei 000
Syfania oberthüri 000
Peridea oberthüri 000
Scalmicauda hösemanni 000
Sidisca hypochloë 000
Acraea kükenthali 000
Acraea oberthüri 000
Actinote terpsinoë 000
Amathusia schönbergi 000
Caligo oberthürii 000
Callithomia alexirrhoë 000
Elymnias künstleri 000
Euploea guérini 000
Limenitis paroëca 000
Neocoenyra fülleborni 000
Neope oberthüri 000
Oeneis aëllo 000
Satyrus püngeleri 000
Arachnopus gutt_lifer 0
Hilipus de_geeri 0
Polydrosus van_volxemi 0
Psepholax mac_leayi 0
Anapygus de_haani 0
Prodioctes de_haani 0
Spenophorus de_haani 0
