species	contig_n50	scaffold_n50	total_length	status	ass_accession	ass_release_date
Drosophila pseudoobscura	26005469	30730540	164662283	Chromosome	GCA_000001765.3	2018/06/28
Drosophila simulans	22909593	24213528	146773509	Chromosome	GCA_004382185.1	2019/04/16
Drosophila melanogaster	22407379	25025258	140687039	Chromosome	GCA_003401745.1	2018/08/17
Drosophila melanogaster	22320754	24876997	136193954	Chromosome	GCA_003402055.1	2018/08/17
Drosophila melanogaster	22302559	25479258	144125362	Chromosome	GCA_002300595.1	2017/09/15
Drosophila erecta	22146549	22146549	146538397	Contig	GCF_003286155.1	2018/10/23
Drosophila mauritiana	22120385	24228064	152317181	Chromosome	GCA_004382145.1	2019/04/16
Drosophila melanogaster	21846106	25207197	137668148	Chromosome	GCA_003401735.1	2018/08/17
Drosophila melanogaster	21835187	24831138	135976767	Chromosome	GCA_003401925.1	2018/08/17
Drosophila melanogaster	21694469	24769044	133341829	Chromosome	GCA_003401795.1	2018/08/17
Drosophila melanogaster	21561544	24418017	133227439	Chromosome	GCA_003401885.1	2018/08/17
Drosophila melanogaster	21509385	25311794	146861278	Chromosome	GCA_003401915.1	2018/08/17
Drosophila melanogaster	21503394	25318294	137707168	Chromosome	GCA_003401685.1	2018/08/17
Drosophila melanogaster	21485538	25286936	143726002	Chromosome	GCF_000001215.4	2014/08/08
Drosophila melanogaster	21483821	25138591	136257826	Chromosome	GCA_003402015.1	2018/08/17
Drosophila melanogaster	21161257	24782129	142347001	Chromosome	GCA_003401805.1	2018/08/17
Drosophila melanogaster	20968353	25355509	138931909	Chromosome	GCA_003401855.1	2018/08/17
Drosophila melanogaster	20054280	25296824	136260999	Chromosome	GCA_003402005.1	2018/08/17
Drosophila sechellia	19907079	24956976	154189398	Chromosome	GCA_004382195.1	2019/04/16
Drosophila melanogaster	18916454	25529268	137485636	Chromosome	GCA_003401975.1	2018/08/17
Drosophila melanogaster	18522235	25282505	137459821	Chromosome	GCA_003397115.2	2018/08/17
Drosophila azteca	17833963	17833963	219083522	Contig	GCA_005876895.1	2019/05/28
Drosophila athabasca	15319690	52101127	192660667	Chromosome	GCA_008121215.1	2019/08/28
Drosophila melanogaster	15305620	15305620	138490501	Contig	GCA_002050065.1	2017/03/20
Drosophila melanogaster	13636574	13636574	164080454	Contig	GCA_000778455.1	2014/11/13
Drosophila miranda	11978448	35263383	287096000	Chromosome	GCA_003369915.2	2019/09/23
Aedes aegypti	11758062	409777670	1278732104	Chromosome	GCF_002204515.2	2017/06/27
Drosophila subobscura	11370518	24182865	126232139	Chromosome	GCA_008121235.1	2019/08/28
Drosophila melanogaster	10749925	24495473	133403897	Chromosome	GCA_004798055.1	2019/04/29
Eulimnadia texana	10428323	18070303	120535642	Scaffold	GCA_002872375.1	2018/01/10
Rhopalosiphum maidis	9046396	93298903	326023155	Chromosome	GCF_003676215.2	2019/02/06
Drosophila virilis	8697263	8697263	189443829	Contig	GCA_003285735.2	2018/10/23
Scaptodrosophila lebanonensis	7854782	7854782	247077949	Contig	GCF_003285725.1	2019/05/29
Nasonia vitripennis	7180486	7180486	297308892	Contig	GCA_009193385.1	2019/10/21
Drosophila melanogaster	6327652	25703299	141561994	Chromosome	GCA_004798075.1	2019/04/29
Drosophila ananassae	6212830	6212830	221283163	Contig	GCA_003285975.2	2018/10/23
Drosophila pseudoobscura	5971646	32023297	193980066	Chromosome	GCA_004329205.1	2019/03/07
Drosophila athabasca	5538275	45685075	193536318	Chromosome	GCA_008121225.1	2019/08/28
Apis mellifera	5382476	13619445	225250884	Chromosome	GCF_003254395.2	2018/09/10
Drosophila orena	5273554	5273554	182891478	Contig	GCA_005876975.1	2019/05/28
Drosophila persimilis	5212974	5212974	195512972	Contig	GCF_003286085.1	2018/10/23
Apis mellifera	5131172	13573435	227036473	Chromosome	GCA_003314205.1	2018/07/11
Drosophila lowei	5037799	48132706	184313494	Chromosome	GCA_008121275.1	2019/08/28
Folsomia candida	4885648	6519406	221702752	Scaffold	GCF_002217175.1	2017/07/12
Ooceraea biroi	3735272	16888278	223876465	Chromosome	GCF_003672135.1	2018/10/23
Drosophila virilis	3404708	31595174	169773245	Chromosome	GCA_007989325.1	2019/08/13
Drosophila hydei	3367158	3367158	153741574	Contig	GCF_003285905.1	2019/05/29
Aedes albopictus	3303944	3303944	2247306217	Contig	GCF_001876365.2	2017/01/09
Sinella curviseta	3284409	3284409	381458724	Contig	GCA_004115045.1	2019/01/28
Drosophila novamexicana	3158326	3158326	177223868	Contig	GCF_003285875.2	2019/07/18
Drosophila subobscura	3129083	5954457	129236726	Scaffold	GCA_900682585.1	2019/07/29
Drosophila innubila	3071820	29570363	167994222	Chromosome	GCA_004354385.1	2019/03/19
Galleria mellonella	2885499	2885499	483242994	Contig	GCA_004355975.1	2019/03/19
Anopheles coluzzii	2625112	2625112	340556243	Contig	GCA_004136515.2	2019/02/06
Euschistus heros	2463424	2463424	1325158962	Contig	GCA_003667255.1	2018/10/19
Psoroptes ovis	2279290	2279290	63214126	Contig	GCA_002943765.1	2018/02/26
Tachypleus tridentatus	1644156	169002194	2167470406	Chromosome	GCA_004210375.1	2019/04/03
